Year,Month,Underground Line,Temperature
2018,August,Bakerloo,32.24
2018,August,Central,31.23
2018,August,Jubilee,27.2
2018,August,Northern,29.12
2018,August,Piccadilly,28.13
2018,August,Victoria,29.61
2018,August,Waterloo_and_City,26.32
2018,August,Sub-surface_lines,25.49
2018,September,Bakerloo,31.13
2018,September,Central,29.49
2018,September,Jubilee,25.38
2018,September,Northern,28
2018,September,Piccadilly,26.55
2018,September,Victoria,29.1
2018,September,Waterloo_and_City,24.96
2018,September,Sub-surface_lines,22.49
2018,October,Bakerloo,29.26
2018,October,Central,27.67
2018,October,Jubilee,23.71
2018,October,Northern,26.71
2018,October,Piccadilly,24.82
2018,October,Victoria,28.35
2018,October,Waterloo_and_City,23.26
2018,October,Sub-surface_lines,19.63
2018,November,Bakerloo,27.31
2018,November,Central,25.4
2018,November,Jubilee,21.29
2018,November,Northern,25
2018,November,Piccadilly,22.56
2018,November,Victoria,27.43
2018,November,Waterloo_and_City,21.04
2018,November,Sub-surface_lines,15.97
2018,December,Bakerloo,26.01
2018,December,Central,24.09
2018,December,Jubilee,19.95
2018,December,Northern,23.87
2018,December,Piccadilly,21.5
2018,December,Victoria,25.4
2018,December,Waterloo_and_City,19.69
2018,December,Sub-surface_lines,14.71
2019,January,Bakerloo,24.85
2019,January,Central,22.81
2019,January,Jubilee,19.62
2019,January,Northern,22.65
2019,January,Piccadilly,20.43
2019,January,Victoria,24.38
2019,January,Waterloo_and_City,18.46
2019,January,Sub-surface_lines,12.85
2019,February,Bakerloo,24.97
2019,February,Central,23.19
2019,February,Jubilee,20.73
2019,February,Northern,22.77
2019,February,Piccadilly,20.97
2019,February,Victoria,25.49
2019,February,Waterloo_and_City,18.96
2019,February,Sub-surface_lines,14.45
2019,March,Bakerloo,25.62
2019,March,Central,24.3
2019,March,Jubilee,21.77
2019,March,Northern,23.48
2019,March,Piccadilly,21.75
2019,March,Victoria,25.69
2019,March,Waterloo_and_City,19.76
2019,March,Sub-surface_lines,15.6
2019,April,Bakerloo,26.49
2019,April,Central,25.34
2019,April,Jubilee,21.61
2019,April,Northern,24.18
2019,April,Piccadilly,22.62
2019,April,Victoria,25.93
2019,April,Waterloo_and_City,20.15
2019,April,Sub-surface_lines,17.22
2019,May,Bakerloo,27.34
2019,May,Central,26.72
2019,May,Jubilee,22.8
2019,May,Northern,25.55
2019,May,Piccadilly,24.06
2019,May,Victoria,26.73
2019,May,Waterloo_and_City,21.69
2019,May,Sub-surface_lines,19.68
2019,June,Bakerloo,29.22
2019,June,Central,28.31
2019,June,Jubilee,24.31
2019,June,Northern,27.06
2019,June,Piccadilly,25.72
2019,June,Victoria,27.89
2019,June,Waterloo_and_City,23.25
2019,June,Sub-surface_lines,22.34
2019,July,Bakerloo,31.07
